sku_name,sales_2021,sales_2022,sales_difference
gree_18LM4,4,1,-3
greenroot_Anti Dandruff and Hair Fall,3,0,-3
greenroot_Organic Honey (250 ml,3,0,-3
iPhone SE-64GB,3,0,-3
liberty_9780521736374,3,0,-3
moshi_99MO023126,3,0,-3
nabila_Nlight FOR creamy,8,5,-3
prime_T11-GR Black-M,3,0,-3
s_tv_KLV-32R302C,4,1,-3
samsungGALAXY S-7 EDGE 32GB Black,3,0,-3
sanasafinaz_march16_10A-Nationwide Delivery,3,0,-3
sanasafinaz_march16_5A-Nationwide Delivery,3,0,-3
sony_SLT-A58Y,3,0,-3
stinnos_957,3,0,-3
stitchers_TnT 012-L,3,0,-3
tcl_40 inch D2720 Full HD LED TV,3,0,-3
viewsonic_PJD5134,3,0,-3
vitamin_Breast Enlargement,3,0,-3
vitamin_Super Ginseng 800,3,0,-3
voucher,3,0,-3
ww_WSB-5-Orgional Wood Colour,3,0,-3
 Huawei Mate 8,2,0,-2
AKL_A131128777_SS-33_Yellow,2,0,-2
AKL_A131130507_SS-161_Blue,2,0,-2
AKL_A131131284_FC-03,2,0,-2
AKL_DL-02-YELLOW,2,0,-2
AT-CTT-28,2,0,-2
AU_WS017,3,1,-2
Aladdin_Nice_Dicer_Plus,2,0,-2
Aladdin_snap_grip_wrenches,2,0,-2
Apple iPhone 6S Plus 128GB,2,0,-2
Ar_KN034-S,2,0,-2
Audionic X-BOOM 5 Black,2,0,-2
Audionic_B-334,4,2,-2
Audionic_Rb 104,2,0,-2
BAHRIA COLLEGE_Navy Blue Elastic Pant-8 - 9 yrs - Size 32,2,0,-2
BBS_A086,3,1,-2
BBS_M009,2,0,-2
BFV_Black Friday voucher Rs  1500,2,0,-2
BHA_K.E-8000,2,0,-2
BK7010400AG,2,0,-2
BO_Guitar-Pktoy-Wooden,2,0,-2
BP_PS03940-Green,2,0,-2
BP_PS19825-Spongebob,2,0,-2
Bata_Power-8386002-43-9,2,0,-2
Bparcel_85W-SAFE2,2,0,-2
Bparcel_HP-90W,2,0,-2
Bparcel_N4050,2,0,-2
CITYN_White Kameez Shalwar with Full Sleeves-13 - 15 yrs - Size ,2,0,-2
CITY_Pajama-9 - 10 yrs - Size 34,2,0,-2
CITY_White Frock Half Sleeves-6.5 - 8 yrs - Size 30,2,0,-2
Careem_25000 Credits,2,0,-2
Careem_50000 Credits,2,0,-2
Casio_EFR-549SG-1AVUDF,2,0,-2
Castillo_CWM-326,2,0,-2
Ctees-Black Zip- Up Hoodie-M,2,0,-2
Dawlance_DW-540 AF,2,0,-2
Emo_SS-21775-40,2,0,-2
Epson_L1800,2,0,-2
FHM_Fluffy Cocao-SOFA SET,2,0,-2
FHM_Mild LCD,2,0,-2
Farah_7-B,2,0,-2
Fmate_Chicken Biryani (Boneless,2,0,-2
Fmate_Sooji Halwa,2,0,-2
GMZV_Xbox 360 Ultra Slim - 4GB -Unmodified - Black,2,0,-2
Getiit_Mate,2,0,-2
Gloria_1506A,2,0,-2
Gree_24CZ8,2,0,-2
HGS_White Legging-4 - 5 yrs - Size 24,2,0,-2
HOS-m_CKEIM100,2,0,-2
HOS_ESW90,2,0,-2
HOS_IMPFW100,2,0,-2
HOS_JPGCW100,3,1,-2
HOS_RLRW100,2,0,-2
HP_ 15-AB202TX _clear,2,0,-2
HP_ 15-AC107TU _clear,2,0,-2
HP_ 15-AC110TU Ã‚Â ,2,0,-2
HP_HP 706n A3 black,2,0,-2
HTC_DESIRE 628,2,0,-2
Haier_HSU-18HZE-R2-DB DC Inverter,2,0,-2
Haier_HSU-18LK-E10BL,2,0,-2
Haier_HWM-75-918,2,0,-2
IKEA_70098989,2,0,-2
Infinix Hot 4 Hazir-Gold-Karachi,2,0,-2
Infinix Hot 4 Hazir-Gold-Rawalpindi,2,0,-2
J&J_JJCC-017C,2,0,-2
JBS_CRY-019,2,0,-2
JBS_IFAM-032,2,0,-2
Khouzh_KKAS-02-13 to 15 M,2,0,-2
Kingston_Kingstondtse9 - 16 Gb - Silver,2,0,-2
L&L_LLABF722,2,0,-2
Life source_LS-7001,3,1,-2
Loreal_Revitalift Night Cream - 50 ml,2,0,-2
MACBOOK AIR 13-INCH 256 GB Flash Drive,4,2,-2
MDF 004_Cashews Roasted 250 gm,2,0,-2
MDF 005_Cashews Plain 250 gm,2,0,-2
MEGUIAR_G13616,2,0,-2
MEGUIAR_G19216,2,0,-2
MEGUIAR_X1030EU,2,0,-2
MHS_Oxford-Bed Sheet - [Size] Double,2,0,-2
MORG_GCS 01,2,0,-2
MORG_GCS 30,2,0,-2
MORG_GCS 31,2,0,-2
MT_SOL 40D33,2,0,-2
Mac Mini 2.8GHz,2,0,-2
Naushemian_#0027-Blue-M,2,0,-2
Naushemian_#0028-Offwhite-M,2,0,-2
Naushemian_#0029-Pstachio Green-M,2,0,-2
Naushemian_#0030-Light Red-M,2,0,-2
Nova_NLJ-1001,2,0,-2
PC_SCHL-FLT-003-6-7,2,0,-2
PHILLIPS_HP8698,2,0,-2
Paramount_9781107657823,2,0,-2
Paramount_9781444175349,2,0,-2
Philips_6540,2,0,-2
Popular International_On call Extra Meter,2,0,-2
Prime_T12-BLACK-2XL,2,0,-2
PucaM_SS-25-BLACK-43,2,0,-2
Q&Q_DA05J101Y ,2,0,-2
R&I_Generator 5KVG,2,0,-2
RAJESH_RAJ184,2,0,-2
RBC_9789694074283,2,0,-2
Relaxsit_RS-40,2,0,-2
Relaxsit_RS-67,4,2,-2
SCIFI_Disney Music_SC39808,2,0,-2
SCIFI_SC301PGP-Princess ,2,0,-2
SCIFI_SC4530SPD-Spider Man ,2,0,-2
SNU_Es16e2-02,2,0,-2
Samsung Galaxy S6 Edge (32GB,2,0,-2
Samsung_40J5200,2,0,-2
Samsung_S7 Edge-Silver,2,0,-2
StPat_Belt Pant_13 - 14 yrs-Size 40/36,2,0,-2
StPat_Belt Pant_14 - 15 yrs-Size 40/36,2,0,-2
TMS_Pink Kameez Half Sleeves-13 - 15 yrs - Size 40,2,0,-2
Tehzeeb_123-E,2,0,-2
Telemall_MM-PC-0002,2,0,-2
Tmall_MM-DR-ND,2,0,-2
Tmall_MM-DR-SPSB,2,0,-2
Topline_Iqbal his life and Our Time,3,1,-2
Transcend_64GB JetFlash 810,2,0,-2
Triumph_Doreen-Black- 36C,2,0,-2
Triumph_Tri-action 36 P-Black- 36C,2,0,-2
Truck Art Porcelain Mug M2,2,0,-2
UK_Kala Jamun Tin Pack 1000 Gms,2,0,-2
UK_Namkino Mix Nimco 5 Pcs Gift Pack,2,0,-2
WW_WHP-WP-1,2,0,-2
Z&A_ZEES-0043,2,0,-2
Z&A_ZEES-0139,2,0,-2
Zia_AD12,2,0,-2
Zia_AW6,2,0,-2
Zia_QT17,2,0,-2
Zia_TK4,2,0,-2
Zuk Z1-Grey-Lahore,2,0,-2
adenwala_Deal No.1,2,0,-2
adenwala_Deal No.5,2,0,-2
akl_A132116093_GMSU171-M,2,0,-2
alkhair_Ajwa Dates 250gm-1,2,0,-2
alrafa_Sughai-Dates-400g,2,0,-2
asimjofaeanew_2B,2,0,-2
asimjofaeid_AJL-3B,2,0,-2
audionic6-954217-564364,2,0,-2
audionic_6954217686844,2,0,-2
aw_CRC DUST FREE -400ml  ,2,0,-2
babyw_toy$9,2,0,-2
barico_BS034-,2,0,-2
bogo_Lahore,2,0,-2
casio_MTP-1381D-7AVDF,2,0,-2
cn_clc_ AS-220RTS,2,0,-2
crocs_200375-ocean-C10,2,0,-2
dawlance_9170WB Graphite Grey,2,0,-2
